Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Europe,Germany,Merck Financial Services GmbH,Corporate Bonds,1368175941,155699241,Germany
Europe,Germany,Muenchener Hypothekenbank eG,Securitized Bonds,2275002120,258896603,Germany
Europe,Germany,Natixis Pfandbriefbank AG,Securitized Bonds,793811203,90336190,Germany
Europe,Germany,Norddeutsche Landesbank-Girozentrale,Government Related Bonds,413084975,47009317,Germany
Europe,Germany,NRW Bank,Government Related Bonds,1525255897,173575034,Germany
Europe,Germany,Robert Bosch GmbH,Corporate Bonds,215123390,24481170,Germany
Europe,Germany,Santander Consumer Bank AG,Securitized Bonds,609743560,69389182,Germany
Europe,Germany,SAP SE,Corporate Bonds,2920752133,332383341,Germany
Europe,Germany,Siemens Financieringsmaatschappij NV,Corporate Bonds,4668598999,531289361,Netherlands
Europe,Germany,Sparkasse Hannover,Securitized Bonds,291244545,33143804,Germany
Europe,Germany,Sparkasse KoelnBonn,Securitized Bonds,401983831,45746001,Germany
Europe,Germany,State of Brandenburg,Government Related Bonds,503721018,57323753,Germany
Europe,Germany,State of Bremen,Government Related Bonds,1636162725,186196297,Germany
Europe,Germany,State of Lower Saxony,Government Related Bonds,2979133855,339027216,Germany
Europe,Germany,State of North Rhine-Westphalia Germany,Government Related Bonds,6421583549,730780052,Germany
Europe,Germany,State of Rhineland-Palatinate,Government Related Bonds,506348899,57622808,Germany
Europe,Germany,State of Schleswig-Holstein Germany,Government Related Bonds,603375035,68664440,Germany
Europe,Germany,Symrise AG,Corporate Bonds,369040394,41997018,Germany
Europe,Germany,UniCredit Bank AG,Securitized Bonds,2932074098,333671788,Germany
Europe,Germany,Volkswagen Financial Services AG,Corporate Bonds,319666669,36378258,Germany
Europe,Germany,Volkswagen Group of America Finance LLC,Corporate Bonds,401879428,45734119,United States
Europe,Germany,Volkswagen International Finance NV,Corporate Bonds,238891473,27185993,Netherlands
Europe,Germany,Volkswagen Leasing GmbH,Corporate Bonds,273797348,31158302,Germany
Europe,Germany,Vonovia Finance BV,Corporate Bonds,1992190845,226712511,Netherlands
Europe,Germany,Wintershall Dea Finance BV,Corporate Bonds,925373582,105308068,Netherlands
Europe,Germany,Wuerth Finance International BV,Corporate Bonds,172567416,19638275,Netherlands
Europe,Germany,Wuestenrot Bausparkasse AG,Securitized Bonds,561096116,63853074,Germany
Europe,Germany,ZF North America Capital Inc,Corporate Bonds,40667777,4628017,United States
Europe,Greece,Government of Greece,Government,42140202,4795580,Greece
Asia,Hong Kong,AIA Group Ltd,Corporate Bonds,506509492,57641083,Hong Kong
Asia,Hong Kong,CK Hutchison Group Telecom Finance SA,Corporate Bonds,737789683,83960908,Luxembourg
Asia,Hong Kong,CK Hutchison International 16 Ltd,Corporate Bonds,306513271,34881394,Cayman Islands
Asia,Hong Kong,CK Hutchison International 17 II Ltd,Corporate Bonds,1107776528,126065632,Cayman Islands
Asia,Hong Kong,CK Hutchison International 19 Ltd,Corporate Bonds,363295785,41343278,Cayman Islands
Asia,Hong Kong,Hutchison Whampoa International 14 Ltd,Corporate Bonds,600579515,68346308,Cayman Islands
Europe,Iceland,Government of Iceland,Government,727417552,82780553,Iceland
Europe,Iceland,Kaupthing ehf,Corporate Bonds,664685,75642,Iceland
Europe,Iceland,Landsvirkjun,Government Related Bonds,484378889,55122607,Iceland
Europe,Iceland,LBI ehf,Corporate Bonds,6188503,704255,Iceland
Asia,India,Adani Ports & Special Economic Zone Ltd,Corporate Bonds,862231734,98122488,India
Asia,India,Britannia Industries Ltd,Corporate Bonds,2244932,255475,India
Asia,India,Export-Import Bank of India,Government Related Bonds,141070064,16053858,India
Asia,India,Government of India,Government,18986221281,2160643347,India
Asia,India,Reliance Holding USA Inc,Corporate Bonds,189420796,21556200,United States
Asia,India,Reliance Industries Ltd,Government Related Bonds,645488446,73456972,India
Asia,Indonesia,Government of Indonesia,Government,26532415865,3019404808,Indonesia
Asia,Indonesia,Pertamina Persero PT,Government Related Bonds,252619102,28748205,Indonesia
International,International Organisations,African Development Bank,Government Related Bonds,1679906598,191174376,International Organisations
International,International Organisations,Asian Development Bank,Government Related Bonds,1844153386,209865759,International Organisations
International,International Organisations,Corp Andina de Fomento,Government Related Bonds,5587877499,635903804,International Organisations
